Domain,Sub domain,Intent,value,0,1,2,3,4,5,6,7,8,9,y_hat
About Business Component,Filling ,Information_saving,"And, if I wish to fill in two forms, will I have to fill in the same information twice?",-3.4406986,-3.30156,-3.1818464,-3.4015958,-3.374035,-3.279212,2.1527584,-3.4662604,-3.0166838,-3.5732667,6
About Business Component,Overall,Flow_summary,Guided Me through the Form Filling Process,-3.2988276,-3.4079134,-3.472087,-3.4130797,-3.093867,-3.0003018,-3.4824836,1.9251832,-3.110116,-3.2609737,7
About Business Component,Overall,Doubt_usefulness,What benefit could you bring to me?,-3.1936224,-3.3766608,-3.249601,-3.4248023,-3.6993725,-3.304204,-3.0601463,-3.278884,2.0073168,-3.1659381,8
About Business Component,Filling ,Information_saving,Is it your system will remember my information so I will not have to provide them again?,-3.5011117,-3.2994835,-3.1564531,-3.2956433,-3.1718633,-3.2442582,2.1566715,-3.5973625,-3.1060135,-3.6077728,6
About Techology,Data Security & Privacy,sensitive_data_storage,Does my privacy information be cached on your cloud?,-3.4303646,-2.9547794,-3.0657024,-3.3234236,2.2071705,-3.27909,-3.4272192,-3.3181798,-3.8612142,-3.3746893,4
About Business Component,Filling ,Information_saving,Will your system remember my information so it will not need to fill it in twice?,-3.3690438,-3.3675919,-3.1341817,-3.4980016,-3.2287612,-3.3745244,2.1030486,-3.451797,-3.0993268,-3.6396015,6
About Techology,Data Security & Privacy,sensitive_data_storage,Would My personal information be cacheed on your cloud?,-3.4224837,-3.0463061,-3.122949,-3.3758888,2.1866555,-3.264666,-3.5007896,-3.27292,-3.822058,-3.2537563,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will iAMSMART receive all of my personal information?,-3.6797907,-3.021255,-3.1021469,1.9711355,-3.2327032,-3.2743015,-3.3375268,-3.3887527,-3.4419696,-3.1209576,3
About the team,Our Contact,Contact_method,Which is the Contact Method for your company?,-3.3779118,-3.4520304,-3.4228323,-3.1959906,-3.55457,2.1307986,-3.3786168,-3.32889,-3.4483674,-3.506325,5
About Business Component,Filling ,Information_saving,how many times do I need to fill within the same field?,-3.5362628,-3.2636485,-3.1783352,-3.3151333,-3.2107372,-3.2219038,2.1474931,-3.5633178,-3.1332815,-3.6090443,6
About Techology,iAM SMART Integration,Without_iamsmart,Tell me how to use your service without using iamsmart.,-3.1561675,2.0691957,-3.5773141,-3.2367828,-3.170628,-3.3486223,-3.4066265,-3.2701087,-3.4863458,-3.4958131,1
About Techology,iAM SMART Integration,Without_iamsmart,is it possible to utilize the FillEasy without the iamsmart?,-3.1936004,2.158724,-3.5669773,-3.122719,-3.0725112,-3.3205786,-3.2980254,-3.3031409,-3.449133,-3.540012,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,I do not wish to share my Personal Data with iAM SMART.,-3.6029904,-2.9649582,-3.1784236,1.9808079,-3.261211,-3.2543561,-3.333366,-3.3871977,-3.4619038,-3.1229208,3
About Business Component,Overall,Service_Summary,Make me a introduction to your business.,-3.1735737,-3.3779492,-3.4322577,-3.1602106,-3.2156382,-3.3439202,-3.472403,-3.1946297,-3.1142786,2.0241933,9
About Techology,Data Security & Privacy,data_security,Do you want to sell my data?,-3.238466,-3.5120676,2.2021165,-3.2014928,-3.3278184,-3.3517995,-3.4123523,-3.625828,-3.2305813,-3.496457,2
About Techology,iAM SMART Integration,Without_iamsmart,How does the Fill-Easy works without iAMSMART?,-3.1750326,2.1268961,-3.5691748,-3.1390538,-3.14613,-3.3686657,-3.3052955,-3.3025079,-3.4648643,-3.5275118,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,Would my information be shared with i am smart?,-3.6340768,-3.053319,-2.9522114,2.0176494,-3.2272198,-3.2400146,-3.2636232,-3.4519954,-3.4731717,-3.0867136,3
About Techology,Data Security & Privacy,data_security,Will any other parties have access to my information?,-3.2576683,-3.5264785,2.21562,-3.1258206,-3.369425,-3.238539,-3.4838192,-3.5735042,-3.2906868,-3.4439163,2
About Business Component,Overall,Service_Summary,Do You Only offer form filling service?,-3.1848407,-3.304848,-3.3508072,-3.158391,-3.2194562,-3.344109,-3.4262867,-3.2391727,-3.0770285,2.046121,9
About Techology,Data Security & Privacy,data_security,Would other parties have access to my information?,-3.2402675,-3.5178537,2.2192132,-3.181434,-3.3316345,-3.275962,-3.497901,-3.523314,-3.2382581,-3.468251,2
About Business Component,Overall,Flow_summary,I know not how to use your service.,-3.2109346,-3.2444472,-3.440924,-3.4376814,-3.1550896,-3.021746,-3.4743607,1.9727386,-2.9991293,-3.4001784,7
About Business Component,Overall,Flow_summary,How can I follow the process?,-3.258207,-3.2319474,-3.491445,-3.4230611,-3.1449265,-2.8772247,-3.4519987,1.9917773,-3.0797648,-3.360449,7
About Business Component,Filling ,Information_saving,What do I need if I want to store the data that am filled in?,-4.0366874,-3.587256,-3.341424,-3.3551376,-0.8082065,-3.664051,0.3255955,-3.7668283,-3.8916824,-4.0071583,6
About the team,Our Contact,Contact_method,And where do I find your contacts?,-3.4859457,-3.5045612,-3.4825974,-3.245979,-3.5778987,2.0287855,-3.3669915,-3.3223855,-3.4871736,-3.5921073,5
About Techology,Data Security & Privacy,sensitive_data_storage,Will my personal data be saved in your cloud?,-3.39933,-3.0360427,-3.1274657,-3.379344,2.1923904,-3.2841074,-3.512256,-3.2515337,-3.8138006,-3.2332253,4
About Business Component,Overall,Doubt_usefulness,Scripture the pros of your service,-3.1651514,-3.5294456,-3.199767,-3.4634538,-3.8233232,-3.4526465,-3.1375008,-3.157048,1.8601748,-3.3188589,8
About the team,Our Contact,Contact_method,And what is your email address?,-3.4315488,-3.460089,-3.4567487,-3.2113168,-3.5468645,2.0942621,-3.391079,-3.3276289,-3.4297643,-3.5709858,5
About Business Component,Overall,Flow_summary,What is the procedure to use your Form-Filling Serivce,-3.292105,-3.2472825,-3.4215524,-3.2952738,-3.0496268,-2.9133942,-3.4781811,2.0564334,-3.0944188,-3.2905567,7
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will i am smart receive all my personal data?,-3.65141,-3.0004296,-3.1253712,1.9738146,-3.2286181,-3.2646804,-3.3445723,-3.4000611,-3.4310083,-3.100083,3
About Techology,iAM SMART Integration,Without_iamsmart,Is there an option for FillEasy using without iAMSMART?,-3.2248347,2.1390142,-3.560223,-3.145008,-3.0731676,-3.3122146,-3.3488407,-3.3141437,-3.4441898,-3.4807515,1
About the team,Our Contact,Contact_method,How I can get to you guys?,-3.3556,-3.4719834,-3.4192958,-3.2053046,-3.6042752,2.1315742,-3.3521411,-3.267226,-3.4056096,-3.5279543,5
About Techology,Data Security & Privacy,data_security,Will the government be allowed to access my personal data?,-3.2331243,-3.5391645,2.173035,-3.1916416,-3.2127008,-3.3816915,-3.510854,-3.658288,-3.2939768,-3.49595,2
About Techology,Data Security & Privacy,sensitive_data_storage,Will you retain my personal data?,-3.6264052,-3.1319115,-2.9738863,-3.277536,2.1287467,-3.3539586,-3.249144,-3.3248956,-3.9507122,-3.420163,4
About Business Component,Filling ,Information_saving,Does I need to fill on the same fields when I use your service again?,-3.427097,-3.1355171,-3.185847,-3.4244447,-3.2020497,-3.2110775,2.211928,-3.5305026,-3.0789506,-3.6077685,6
About Business Component,Overall,Doubt_usefulness,How much money could I save with your service?,-3.1862373,-3.3519268,-3.237608,-3.3890114,-3.6925964,-3.3442771,-3.0758162,-3.225714,2.027971,-3.1980398,8
About Techology,Data Security & Privacy,sensitive_data_storage,Will you keep my personal data?,-3.6349053,-3.0176432,-3.0378003,-3.295211,2.18476,-3.1583126,-3.4590733,-3.297016,-3.904983,-3.3439913,4
About Techology,iAM SMART Integration,Without_iamsmart,Can I use the Form filling function without a iAMSMART account,-3.1573257,2.1252966,-3.5433116,-3.2153828,-3.167485,-3.3684828,-3.3615627,-3.2273219,-3.4312549,-3.4597437,1
About Business Component,Overall,Service_Summary,introduced me to your business,-3.200126,-3.4319913,-3.4918807,-3.1654558,-3.1650157,-3.3201199,-3.479572,-3.2291102,-3.1036146,1.9783776,9
About Techology,Data Security & Privacy,sensitive_data_storage,Are My Personal Data Stored on Your Cloud?,-3.4080348,-3.0764606,-3.0857432,-3.3539703,2.2091775,-3.2390435,-3.5234525,-3.2333717,-3.7902365,-3.254843,4
About Business Component,Filling ,Information_saving,Will your system remember my information so I¡¦ll not have to provide it for me again?,-3.4231179,-3.2890377,-3.173651,-3.3458936,-3.2348032,-3.2064157,2.1739805,-3.5619514,-3.1101964,-3.5954149,6
About Business Component,Overall,Doubt_usefulness,How is the use of Fill Easy?,-3.5431302,-3.8506713,-3.8794491,-3.9572039,-3.8103561,-3.7074957,-3.3809218,0.6537123,-1.9841069,-3.6895,7
About Techology,Data Security & Privacy,data_security,Will My Personal Data be Transmitted to the Government?,-3.324546,-3.6333537,2.1326995,-3.0886133,-3.1143525,-3.3263323,-3.5781593,-3.6373148,-3.4075575,-3.5429957,2
About Business Component,Filling ,Information_saving,Do I need to fill the same fields when I take your service again?,-3.4383023,-3.1964328,-3.1960566,-3.417775,-3.1878014,-3.2061577,2.2158508,-3.5035655,-3.061583,-3.5995991,6
About Business Component,Overall,Service_Summary,I want to learn more about the service you provide,-3.1074827,-3.38104,-3.4367387,-3.1569355,-3.3075838,-3.535649,-3.4237332,-3.1454809,-3.0921135,1.9871174,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Would My Bank Account Number Will Be Locked to iAM SMART?,-3.8972137,-2.839915,-3.2442868,1.7931592,-3.1008778,-3.2494693,-3.3819742,-3.5742495,-3.6832323,-3.3134658,3
About Techology,Data Security & Privacy,data_security,What¡¦s the place where you store my information?,-3.4277148,-3.7642994,1.7883846,-3.309586,-3.4918113,-3.232256,-3.5347762,-3.6946306,-3.493931,-3.730127,2
About Business Component,Overall,Doubt_usefulness,Please provide me reasons to use your service.,-3.242985,-3.3607523,-3.2680187,-3.3915446,-3.6998696,-3.289663,-3.0207844,-3.2339327,2.0421195,-3.1403275,8
About Business Component,Filling ,Information_saving,I do not want to repeatly enter the same information.,-3.4673874,-3.2956011,-3.1102417,-3.292788,-3.2995946,-3.2686555,2.17717,-3.5353074,-3.0813117,-3.549554,6
About Business Component,Overall,Doubt_usefulness,Tell us the benefit of your services,-3.1799061,-3.4269881,-3.2856686,-3.4270086,-3.6523528,-3.340588,-3.115069,-3.3187666,1.9466718,-3.1688542,8
About Techology,AI Techology,AI_summary,Why did you use Machine Learning on your service?,2.0123088,-3.204421,-3.1575425,-3.577019,-3.5195327,-3.1590018,-3.323855,-3.1829371,-2.9939601,-3.0383396,0
About Techology,Data Security & Privacy,sensitive_data_storage,I hope not that my personal data will persist on your cloud.,-3.480445,-3.026891,-3.1155367,-3.3126593,2.2345114,-3.2263677,-3.4104743,-3.2548854,-3.8101254,-3.282382,4
About Business Component,Overall,Flow_summary,What should I do to work?,-3.2620227,-3.2635446,-3.4917097,-3.3662894,-3.1878042,-2.871504,-3.483696,2.031037,-2.985237,-3.3034232,7
About Business Component,Overall,Service_Summary,Could you tell us what you do?,-3.129169,-3.3156705,-3.434768,-3.1981828,-3.230404,-3.4026415,-3.4083204,-3.2310627,-3.0359938,2.037058,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will my bank account number be leaked to i am smart?,-3.607004,-3.011115,-3.023352,2.0096145,-3.2843091,-3.1758583,-3.301126,-3.452108,-3.477694,-3.0730035,3
About Techology,AI Techology,AI_summary,Why does you use AI?,1.9222803,-3.2233646,-3.183106,-3.5674524,-3.5573606,-3.1501012,-3.38566,-3.24675,-3.0630722,-3.0677562,0
About Business Component,Overall,Doubt_usefulness,What benefits could you bring to me?,-3.1913521,-3.3814626,-3.2271006,-3.4179885,-3.7088895,-3.3151484,-3.0119543,-3.2443087,2.0237236,-3.2087698,8
About Business Component,Filling ,Information_saving,What should we do if we want to save the full-in data?,-3.5515423,-3.3403077,-3.1636636,-3.4126706,-3.1027527,-3.4947145,2.0121834,-3.4017127,-3.1913939,-3.657503,6
About Business Component,Filling ,Information_saving,What Should I do if I want to save the filled-in data?,-3.5208852,-3.2532792,-3.1956441,-3.3404303,-3.0546682,-3.2512054,2.2195954,-3.4694147,-3.0625703,-3.5369546,6
About Techology,Data Security & Privacy,sensitive_data_storage,Are you gathering my personal data?,-3.627832,-3.2355285,-3.0606363,-3.3319883,2.0888898,-3.2233539,-3.4354737,-3.3151462,-3.940452,-3.234491,4
About Techology,Data Security & Privacy,sensitive_data_storage,Do you stores my personal data?,-3.521163,-3.001587,-3.0071197,-3.309228,2.224761,-3.3298583,-3.46487,-3.2700474,-3.8422318,-3.244754,4
About Business Component,Overall,Flow_summary,We don¡¦t know how to use the service.,-3.3059506,-3.1673937,-3.4654865,-3.5484152,-3.3094442,-3.0562677,-3.5429025,1.8341907,-3.0334823,-3.3430405,7
About the team,Our Contact,Contact_method,Please tell me the address of your company.,-3.4382656,-3.4519353,-3.4822176,-3.2484555,-3.5763187,2.0719974,-3.405236,-3.3680968,-3.3922067,-3.5230625,5
About Business Component,Overall,Service_Summary,Learn me to your business,-3.60173,-3.9249797,-3.833479,-3.6521826,-3.7985356,-3.7393823,-3.722964,-1.1700844,-3.0371723,0.44651893,9
About Business Component,Overall,Service_Summary,Are you just offering an application form-filling service?,-3.3406608,-3.1496835,-3.441136,-3.241861,-3.2427104,-3.49653,-3.584235,-2.8588834,-3.2379756,1.9224277,9
About Techology,Data Security & Privacy,sensitive_data_storage,Is the information that I fill in stored?,-3.5418613,-3.022878,-3.09895,-3.448712,2.1520808,-3.2100348,-3.454627,-3.2818012,-3.8320599,-3.2423906,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will i am smart receiving all my personal data?,-3.5921543,-3.0720959,-3.1183972,1.9547791,-3.2293308,-3.2928226,-3.2488437,-3.4977815,-3.4227405,-3.1089323,3
About Business Component,Overall,Doubt_usefulness,But why do I have to use your service?,-3.1481082,-3.373399,-3.2327065,-3.4558847,-3.7546163,-3.372915,-3.0025768,-3.1977327,2.014042,-3.271034,8
About Business Component,Overall,Flow_summary,What I do to work?,-3.1080985,-3.3384237,-3.4587913,-3.4415343,-3.2011402,-2.9414012,-3.5524476,1.9728136,-3.0648596,-3.3066652,7
About Business Component,Overall,Service_Summary,Are you offering only a Form filling service?,-3.1871793,-3.2509346,-3.4069374,-3.1945183,-3.2125514,-3.3732646,-3.459331,-3.20845,-3.0544574,2.0333738,9
About Business Component,Filling ,Information_saving,Is your system going to remember my details so I won¡¦t have to fill it on twice?,-3.5186515,-3.3587866,-3.3671455,-3.4749374,-3.3013864,-3.2491593,2.0590413,-3.2654674,-3.086549,-3.6344879,6
About Business Component,Filling ,Information_saving,Will your system keep in mind My information so I won't need to fill it in twice?,-3.4058053,-3.352658,-3.2763624,-3.4328551,-3.2165558,-3.314517,2.0898442,-3.5104263,-3.0818586,-3.6285937,6
About Business Component,Filling ,Information_saving,Will your system keep in mind my information so that I won¡¦t have to fill it in twice?,-3.4117894,-3.329147,-3.2681735,-3.45216,-3.2354178,-3.2847152,2.1349385,-3.482378,-3.0207992,-3.618669,6
About Business Component,Overall,Service_Summary,So what type of service are you offering?,-3.097882,-3.285076,-3.4201663,-3.0901859,-3.2277293,-3.3611832,-3.4876058,-3.1605504,-3.0799432,2.0986454,9
About Techology,Data Security & Privacy,data_security,Will iamsmART collect my information even if I do not use iAM SMART service?,-3.3408325,-3.3981106,2.17638,-3.0574584,-3.3676667,-3.3031325,-3.4889188,-3.6161644,-3.267346,-3.4887655,2
About Business Component,Overall,Flow_summary,Teach me how to use your form filling service step by step,-3.2744758,-3.327148,-3.4449675,-3.3554451,-3.1453333,-2.9443836,-3.4964626,1.9831007,-3.0562003,-3.3015683,7
About Techology,Data Security & Privacy,sensitive_data_storage,Will My Personal Data be Stored in Your Cloud?,-3.4081233,-3.0828748,-3.1171904,-3.363665,2.1862946,-3.272173,-3.4982855,-3.2530534,-3.826305,-3.2501674,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,"If I use iAMsmart, will this mean I will share every input with them as well?",-3.6994205,-3.0118322,-2.9860873,2.044391,-3.3166757,-3.147157,-3.2724109,-3.3952134,-3.4069748,-3.0018115,3
About Business Component,Overall,Doubt_usefulness,How much time can I save with your service?,-3.1887777,-3.3502576,-3.2637572,-3.4176853,-3.6830764,-3.342171,-3.0190167,-3.20487,2.0341086,-3.2163382,8
About the team,Our Contact,Contact_method,what is Your number?,-3.3676584,-3.5160203,-3.4554393,-3.236688,-3.5665278,2.0815756,-3.4529774,-3.3009837,-3.408359,-3.5235527,5
About Techology,iAM SMART Integration,Without_iamsmart,I¡¦m not trying to create an i AM SMART account. what can I do if so?,-3.1099977,2.0300333,-3.6200595,-3.2577062,-3.2227128,-3.3937478,-3.3551722,-3.275309,-3.4922895,-3.5060236,1
About Techology,Data Security & Privacy,sensitive_data_storage,To check if my personal data is stored on your side.,-3.5543668,-3.0627785,-3.1323016,-3.3727562,2.1630037,-3.1949549,-3.491113,-3.2392972,-3.8690991,-3.294211,4
About Techology,iAM SMART Integration,Without_iamsmart,Tell me how to use your service without utilizing iAMSMART,-3.2118745,2.1217935,-3.5433056,-3.1931844,-3.1087637,-3.3297791,-3.362137,-3.236288,-3.5078125,-3.4886081,1
About Business Component,Overall,Service_Summary,Let you say more about your service,-3.1394155,-3.362569,-3.6091514,-3.1112819,-3.1866796,-3.4177828,-3.3526318,-3.1544952,-2.982724,2.0350718,9
About Business Component,Filling ,Information_saving,Will your system remember my information so I¡¦m not going to have to fill it on twice?,-3.4236565,-3.2811246,-3.2234664,-3.4338295,-3.2668555,-3.2600937,2.1667423,-3.4381378,-3.0661721,-3.5866013,6
About Business Component,Overall,Doubt_usefulness,So how much time could I save with your service?,-3.185933,-3.3513992,-3.2702236,-3.4207962,-3.683141,-3.3183255,-3.004372,-3.1914558,2.0451384,-3.2229702,8
About Techology,AI Techology,AI_summary,How can AI help me in your service?,2.0167525,-3.1686144,-3.1566765,-3.5285275,-3.496037,-3.1081347,-3.3784347,-3.1423233,-3.088268,-3.0539944,0
About Business Component,Filling ,Information_saving,Does it have to be filled over in the same field twice?,-3.4743946,-3.2912078,-3.1504476,-3.4711578,-3.1520324,-3.3015969,2.0898948,-3.5646195,-3.112062,-3.6882055,6
About Techology,Data Security & Privacy,sensitive_data_storage,Do You Story My Personal Data?,-3.8797975,-3.3232808,-3.1281538,-2.7969127,1.7102749,-3.579528,-3.5029044,-3.4447665,-4.1945744,-3.4593303,4
About Techology,Data Security & Privacy,sensitive_data_storage,Is information that I have filled in stored?,-3.5518644,-3.013939,-3.136082,-3.3987455,2.135581,-3.2356439,-3.4785805,-3.2821393,-3.8612263,-3.262786,4
About Business Component,Overall,Service_Summary,Introducing me to your business,-3.1836874,-3.410749,-3.4396555,-3.1337233,-3.2394493,-3.357352,-3.4829793,-3.2239246,-3.0857718,1.9915526,9
About Business Component,Filling ,Information_saving,We do not want to enter the same news repeatedly.,-3.5986032,-3.2632205,-3.2920752,-3.3314803,-3.331298,-3.208507,2.0428972,-3.4795227,-3.1465917,-3.6060126,6
About Techology,iAM SMART Integration,data_exchange_iamsmart,"If I use iAMSMART, does it mean that I will share every entry with them as well?",-3.7323837,-2.9564922,-2.9837625,2.001954,-3.3623772,-3.1295552,-3.2584534,-3.4768977,-3.4456444,-3.0841372,3
About Techology,Data Security & Privacy,sensitive_data_storage,Is the information I filled in stored?,-3.5480328,-3.0812607,-3.0980146,-3.439742,2.1226861,-3.2288055,-3.4406848,-3.2863548,-3.8457682,-3.2884276,4
About Techology,Data Security & Privacy,sensitive_data_storage,Would You save My personal data?,-3.5250807,-3.0222287,-3.083666,-3.4095635,2.1706538,-3.2338111,-3.457959,-3.2990148,-3.8003705,-3.289124,4
About Business Component,Overall,Flow_summary,Guide Me Thro The Form Filling Process,-3.3182626,-3.2721317,-3.5012755,-3.3428752,-3.1354973,-2.9241917,-3.3995986,1.9975034,-3.0518692,-3.3658025,7
About Business Component,Overall,Doubt_usefulness,What are the proses of using Fill Easy?,-2.8347855,-3.41197,-3.3801143,-3.441107,-3.8179703,-3.5530696,-3.0186136,-3.2906063,1.9135091,-3.2229433,8
About Techology,Data Security & Privacy,data_security,Would the government have an access to my personal data?,-3.2318933,-3.5153623,2.214272,-3.153676,-3.248526,-3.3049324,-3.524091,-3.6008754,-3.276946,-3.521463,2
About Techology,AI Techology,AI_summary,How can your Artificial Intelligence technology help me fill in forms?,1.9787959,-3.2477274,-3.112901,-3.557431,-3.4997659,-3.1934013,-3.292155,-3.2338858,-3.058617,-3.0479934,0
About Techology,iAM SMART Integration,data_exchange_iamsmart,Would i am smart know my banking details?,-3.7116594,-3.0980418,-3.0664644,1.9301772,-3.325485,-3.315112,-3.275506,-3.4333892,-3.4620345,-3.0687828,3
About Techology,iAM SMART Integration,data_exchange_iamsmart,"If I use iAMSMART, does it mean that I am going to share each input with them too?",-3.6460054,-3.0465105,-3.059503,1.9849193,-3.3355875,-3.17453,-3.3131204,-3.417719,-3.4236138,-3.0584657,3
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will my information definitely be handed over with i am smart?,-3.8583739,-3.1400456,-2.501923,1.7276856,-3.2340956,-3.4234064,-3.184981,-3.7653701,-3.6868954,-3.3168068,3
About Techology,Data Security & Privacy,data_security,Is the information crypted?,-3.6307168,-3.847375,1.3801582,-3.4710352,-2.579911,-3.572871,-3.70481,-3.967006,-3.7870293,-3.660496,2
About Business Component,Overall,Service_Summary,I wish to learn more about the service you provide.,-3.1153116,-3.3526382,-3.434896,-3.1302938,-3.2651787,-3.465303,-3.405088,-3.1711638,-3.0949624,2.035072,9
About the team,Our Contact,Contact_method,can we go to your office?,-3.3774517,-3.46011,-3.4137566,-3.24411,-3.5569327,2.1128628,-3.392381,-3.321274,-3.4299254,-3.500803,5
About Business Component,Overall,Doubt_usefulness,Tell Me The Benefit of Your Service,-3.1573606,-3.3688886,-3.2513025,-3.391837,-3.639882,-3.3509192,-3.0483046,-3.2617314,2.0257134,-3.1910872,8
About Techology,Data Security & Privacy,data_security,Will IAMSMART take on my information even if I don't utilize the iAMSMART service?,-3.2853463,-3.401934,2.1947758,-3.2185774,-3.3342571,-3.2815802,-3.4009821,-3.5802166,-3.2522247,-3.4520438,2
About Techology,Data Security & Privacy,data_security,Do you have to sell my data?,-3.240179,-3.5014343,2.1988132,-3.2128396,-3.3484056,-3.348753,-3.4074016,-3.609626,-3.2245343,-3.5054734,2
About Business Component,Overall,Service_Summary,Do you only offer a full-up form-up service?,-3.3441966,-3.2000008,-3.3734791,-3.357123,-3.1698937,-3.4942524,-3.5493255,-3.094313,-3.2074282,1.8615713,9
About Techology,Data Security & Privacy,data_security,Would it be that the government will have access to my personal data?,-3.300913,-3.560263,2.1841304,-3.0306811,-3.2890189,-3.2964513,-3.5346117,-3.643719,-3.31043,-3.5272245,2
About Business Component,Overall,Flow_summary,How to Use Your Fill Form Serivce,-3.2326233,-3.209355,-3.4051557,-3.3282857,-3.0800686,-3.1099114,-3.4897442,1.9215386,-3.1390693,-3.4447448,7
About Business Component,Overall,Flow_summary,How to use your form-filling serivce,-3.2414982,-3.2556615,-3.387679,-3.3455877,-3.0958636,-2.9639082,-3.5805168,1.9574593,-3.1494696,-3.3312483,7
About Business Component,Overall,Service_Summary,I want to know a more about the service you offer.,-3.1047003,-3.283442,-3.4016821,-3.074532,-3.2054784,-3.3766754,-3.4293551,-3.2892082,-3.0503483,2.0788665,9
About the team,Our Contact,Contact_method,Where to send this e-mail if I want to get in touch?,-3.3560913,-3.4544938,-3.4689946,-3.1456172,-3.5000467,2.1430516,-3.3125951,-3.362887,-3.4495354,-3.5564022,5
About Techology,Data Security & Privacy,data_security,Are you going to sell my data?,-3.2504342,-3.4960718,2.2173083,-3.1798153,-3.2754126,-3.3478482,-3.4387329,-3.6205006,-3.2370906,-3.4862063,2
About Business Component,Overall,Service_Summary,And what service should I receive?,-3.178139,-3.3068452,-3.4122486,-3.1509795,-3.2632017,-3.349001,-3.470998,-3.1013436,-3.107918,2.0569184,9
About Techology,Data Security & Privacy,data_security,Are you looking to sell my data?,-3.233714,-3.5153394,2.2093189,-3.1675549,-3.3121424,-3.3441613,-3.4388986,-3.6351898,-3.2479563,-3.5015419,2
About Techology,AI Techology,AI_summary,How can Your Machine Learning Technology Help Me Fill Forms?,1.9861809,-3.2665977,-3.1412063,-3.5858204,-3.5215914,-3.1767807,-3.3384087,-3.1432295,-3.0242448,-3.0580394,0
About Techology,AI Techology,AI_summary,Tells me about ML in your business.,1.9212396,-3.2213573,-3.314545,-3.5701416,-3.5102906,-3.1349757,-3.4543972,-3.1226668,-3.0906744,-2.9518065,0
About Techology,AI Techology,AI_summary,how does FillEasy integrate ML technology?,1.9603237,-3.1833827,-3.1394346,-3.5210626,-3.5344954,-3.2161837,-3.3392656,-3.1729617,-3.0985672,-3.0884416,0
About Techology,Data Security & Privacy,sensitive_data_storage,Are the information which I fill in stored?,-3.5176675,-3.0216818,-3.0694914,-3.4484289,2.189116,-3.2067428,-3.400031,-3.2678256,-3.829556,-3.2570736,4
About Techology,AI Techology,AI_summary,how can AI help me in your service?,2.0167525,-3.1686144,-3.1566765,-3.5285275,-3.496037,-3.1081347,-3.3784347,-3.1423233,-3.088268,-3.0539944,0
About Business Component,Overall,Service_Summary,I don't know what service you offer.,-3.2149885,-3.3456151,-3.4207382,-3.1211698,-3.191767,-3.3780289,-3.4900808,-3.156061,-3.12391,2.0284078,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will IAMSMART receive all my personal data?,-3.695357,-3.041462,-3.1261542,1.9452881,-3.2154322,-3.2949927,-3.3690667,-3.3793597,-3.434152,-3.1328077,3
About Techology,Data Security & Privacy,data_security,Do other parties gain access to my information?,-3.1875908,-3.533688,2.2193456,-3.2185388,-3.3228822,-3.2974107,-3.4584582,-3.5518186,-3.26561,-3.4446647,2
About Business Component,Overall,Service_Summary,What are you guys doing?,-3.1493428,-3.3508337,-3.4511864,-3.1425395,-3.15414,-3.2272627,-3.4976714,-3.2621043,-3.1445105,2.018595,9
About the team,Our Contact,Contact_method,And how can I get you guys?,-3.371381,-3.4337134,-3.4574103,-3.2503,-3.560711,2.1224678,-3.373126,-3.2964978,-3.3946068,-3.5302436,5
About Techology,iAM SMART Integration,Without_iamsmart,Can I still subscribe to use the service if I don¡¦t have an iAM SMART account?,-3.208253,2.1021838,-3.4691064,-3.1720428,-3.1261523,-3.3596535,-3.361004,-3.3487525,-3.5043168,-3.5029397,1
About Business Component,Overall,Service_Summary,What services do I receive?,-3.1876094,-3.3562424,-3.400594,-3.1590378,-3.1737375,-3.379525,-3.4893162,-3.2854466,-3.134665,1.98668,9
About Techology,iAM SMART Integration,Without_iamsmart,Can I use the form filling function without a i AM SMART account,-3.133078,2.176223,-3.5425155,-3.2052772,-3.1143746,-3.3388891,-3.3490555,-3.185743,-3.43944,-3.461936,1
About Business Component,Overall,Service_Summary,Could you say me what you do?,-3.044211,-3.3236642,-3.513342,-3.147574,-3.307485,-3.4558754,-3.3367198,-3.08086,-2.9316726,2.110963,9
About Techology,Data Security & Privacy,sensitive_data_storage,I want to check if our personal data is stored on your side.,-3.5331974,-3.0606134,-3.093631,-3.3590157,2.1927,-3.244719,-3.4686494,-3.266701,-3.8512173,-3.234628,4
About the team,Our Contact,Contact_method,Where do I get your contacts?,-3.419122,-3.5018508,-3.4732165,-3.2353065,-3.5831456,2.078039,-3.3839157,-3.2786546,-3.4624104,-3.536078,5
About Business Component,Filling ,Information_saving,Do I need to complete the same fields as I use your service again?,-3.5451393,-3.167263,-3.2936952,-3.3907452,-3.2185533,-3.3135254,2.0860605,-3.4584343,-3.1611056,-3.687033,6
